data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Asus TUF Gaming A15 FA506NC R5 7535HS (HN017W),18.490.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nc-r5-hn017w?utm_flashsale=1,100,22.990.000₫,-19%,1.090.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002),18.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,101,22.990.000₫,-17%,1.890.000₫,RAM 16 GB SSD 512 GB,4.7,3 đánh giá
HP 240 G9 i3 1215U (6L1X8PA),11.290.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x8pa,102,13.690.000₫,-17%,1.190.000₫,RAM 8 GB SSD 512 GB,,
Asus Vivobook 15 OLED A1505VA i5 13500H (MA467W),18.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-ma467w,103,20.990.000₫,-9%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Acer Gaming Nitro V ANV15 51 53NE i5 13420H (NH.QNASV.002),19.990.000₫,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-53ne-i5-nhqnasv002,104,23.990.000₫,-16%,1.890.000₫,RAM 16 GB SSD 512 GB,,
HP Pavilion X360 14 ek1047TU i7 1355U (80R25PA),24.690.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa,105,27.590.000₫,-10%,1.190.000₫,RAM 16 GB SSD 512 GB,4.8,5 đánh giá
MSI Cyborg 15 A13VEK i7 13620H (1423VN),24.990.000₫,https://www.thegioididong.com/laptop/msi-cyborg-15-a13vek-i7-1423vn,106,26.990.000₫,-7%,990.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Lenovo Ideapad Slim 5 16IMH9 Ultra 7 155H (83DC001SVN),26.690.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-7-83dc001svn,107,27.690.000₫,,1.090.000₫,RAM 32 GB SSD 512 GB,,
Dell Vostro 15 3520 i5 1235U (i5U165W11GRU),16.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-i5u165w11gru,108,16.990.000₫,,100.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
HP 15s fq5162TU i5 1235U (7C134PA),14.990.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa?utm_flashsale=1,109,18.890.000₫,-20%,1.190.000₫,RAM 8 GB SSD 512 GB,4.3,45 đánh giá
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),18.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530i5u165w11slu,110,19.990.000₫,-7%,100.000₫,RAM 16 GB SSD 512 GB,,
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),18.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w,111,22.990.000₫,-17%,1.090.000₫,RAM 16 GB SSD 512 GB,3.5,13 đánh giá
Asus Zenbook 14 OLED UX3402VA i5 13500H (KM657W),23.990.000₫,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-i5-km657w,112,26.990.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX (NH.QLUSV.005),27.990.000₫,https://www.thegioididong.com/laptop/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005,113,37.990.000₫,-26%,990.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Katana 15 B13VFK i7 13620H (676VN),27.990.000₫,https://www.thegioididong.com/laptop/msi-katana-15-b13vfk-i7-676vn,114,31.990.000₫,-12%,990.000₫,RAM 16 GB SSD 1 TB,4.8,4 đánh giá
HP 15 fd1063TU Ultra 5 125H (9Z2Y1PA),18.890.000₫,https://www.thegioididong.com/laptop/hp-15-fd1063tu-ultra-5-9z2y1pa,115,20.990.000₫,-10%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Asus TUF Gaming A15 FA507NUR R7 7435HS (LP057W),25.990.000₫,https://www.thegioididong.com/laptop/asus-fa507nur-r7-lp057w,116,30.490.000₫,-14%,1.090.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),22.990.000₫,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-5-21ms007gvn,117,23.190.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H (83DA001YVN),26.490.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da001yvn,118,27.690.000₫,,1.090.000₫,RAM 32 GB SSD 512 GB,,
Dell Inspiron 15 3530 i7 1355U (71026454),21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71026454,119,22.390.000₫,,100.000₫,RAM 16 GB SSD 512 GB,2,1 đánh giá
Dell Vostro 3420 i5 1235U (V4I5702W1),15.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-3420-i5-v4i5702w1,120,16.190.000₫,,100.000₫,RAM 8 GB SSD 512 GB,,
Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001),19.990.000₫,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001,121,27.990.000₫,-28%,1.890.000₫,RAM 8 GB SSD 512 GB,4.4,21 đánh giá
Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002),12.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,122,13.990.000₫,-7%,1.090.000₫,RAM 8 GB SSD 512 GB,,
Asus Vivobook S 14 OLED S5406MA Ultra 5 125H (PP136W),24.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-14-oled-s5406ma-ultra-5-pp136w,123,26.990.000₫,-9%,1.090.000₫,RAM 16 GB SSD 1 TB,,
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),17.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,124,22.490.000₫,-22%,1.090.000₫,RAM 8 GB SSD 512 GB,4.2,20 đánh giá
Asus Vivobook 15 OLED A1505ZA i5 12500H (L1337W),16.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w,125,18.990.000₫,-13%,1.090.000₫,RAM 16 GB SSD 512 GB,4.2,12 đánh giá
HP 15 fd0304TU i3 1315U (A2NL5PA),10.990.000₫,https://www.thegioididong.com/laptop/hp-15-fd0304tu-i3-a2nl5pa?utm_flashsale=1,126,13.490.000₫,-18%,1.190.000₫,RAM 8 GB SSD 512 GB,3,1 đánh giá
HP 15s fq5147TU i7 1255U (7C133PA),17.190.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5147tu-i7-7c133pa?utm_flashsale=1,127,20.890.000₫,-17%,1.190.000₫,RAM 8 GB SSD 512 GB,4.2,28 đánh giá
Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN),27.990.000₫,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn,128,28.790.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Thin GF63 12UC i5 12450H (803VN),15.490.000₫,https://www.thegioididong.com/laptop/msi-gf63-12uc-i5-803vn,129,18.990.000₫,-18%,1.090.000₫,RAM 8 GB SSD 512 GB,4.4,5 đánh giá
Lenovo Legion 5 16IRX9 i7 14650HX (83DG0051VN),40.390.000₫,https://www.thegioididong.com/laptop/lenovo-legion-5-16irx9-i7-83dg0051vn,130,45.990.000₫,-12%,1.090.000₫,RAM 16 GB SSD 1 TB,,
MacBook Air 15 inch M2,27.590.000₫,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023,131,,,,RAM 8 GB SSD 256 GB,4.8,8 đánh giá
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0047VN),46.990.000₫,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0047vn,132,49.990.000₫,-6%,1.090.000₫,RAM 32 GB SSD 1 TB,,
Dell Inspiron 15 3530 i7 1355U (71043888),21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71043888,133,22.390.000₫,,100.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Asus Zenbook 14 OLED UX3405MA Ultra 5 125H,26.190.000₫,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3405ma-ultra-5-pp151w?utm_flashsale=1,134,28.990.000₫,-9%,1.090.000₫,RAM 16 GB SSD 512 GB,4.4,5 đánh giá
Dell Inspiron 14 5440 Core 7 150U (7FN5J),24.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-7fn5j,135,26.990.000₫,-7%,100.000₫,RAM 16 GB SSD 1 TB,,
Acer Swift Go 14 41 R251 R5 7430U (NX.KG3SV.005),16.990.000₫,https://www.thegioididong.com/laptop/acer-swift-go-14-41-r251-r5-nxkg3sv005,136,19.490.000₫,-12%,1.090.000₫,RAM 16 GB SSD 1 TB,,
HP Envy x360 14 fc0094TU Ultra 5 125U (A19C4PA),27.490.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0094tu-ultra-5-a19c4pa,137,29.490.000₫,-6%,1.190.000₫,RAM 16 GB SSD 512 GB,,
MSI Modern 15 B7M R5 7530U (231VN),11.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b7m-r5-231vn,138,14.990.000₫,-23%,1.090.000₫,RAM 16 GB SSD 512 GB,4.5,11 đánh giá
Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),24.990.000₫,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,139,27.990.000₫,-10%,1.890.000₫,RAM 16 GB SSD 512 GB,,
Asus TUF Gaming A15 FA507NV R7 7735HS (LP031W),27.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w,140,31.990.000₫,-12%,1.090.000₫,RAM 16 GB SSD 512 GB,4.8,6 đánh giá
Asus TUF Gaming F15 FX507VU i7 13620H (LP167W),27.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vu-i7-lp167w,141,31.990.000₫,-12%,1.090.000₫,RAM 16 GB SSD 512 GB,4,1 đánh giá
MSI Gaming GF63 Thin 12UCX i5 12450H (873VN),15.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ucx-i5-873vn,142,18.990.000₫,-18%,1.090.000₫,RAM 16 GB SSD 512 GB,4,11 đánh giá
HP 15 fd1064TU Ultra 5 125H (9Z2Y2PA),18.290.000₫,https://www.thegioididong.com/laptop/hp-15-fd1064tu-ultra-5-9z2y2pa?utm_flashsale=1,143,20.990.000₫,-12%,1.190.000₫,RAM 16 GB SSD 512 GB,,
HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA),26.590.000₫,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa,144,31.690.000₫,-16%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),30.990.000₫,https://www.thegioididong.com/laptop/lenovo-yoga-7-14imh9-ultra7-83cv001vvn,145,31.990.000₫,,100.000₫,RAM 32 GB SSD 1 TB,,
Dell Inspiron 15 3530 i5 1334U (71043885),18.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71043885,146,19.990.000₫,-7%,100.000₫,RAM 16 GB SSD 512 GB,,
Dell Inspiron 15 3520 i5 1235U (71027003),15.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71027003,147,,,100.000₫,RAM 8 GB SSD 512 GB,3.5,2 đánh giá
Acer Aspire 5 A515 58M 79R7 i7 13620H (NX.KQ8SV.007),18.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58m-79r7-i7-nxkq8sv007,148,20.990.000₫,-9%,1.090.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Acer Gaming Aspire 7 A715 76G 59MW i5 12450H (NH.QMYSV.001),15.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-59mw-i5-nhqmysv001,149,21.490.000₫,-25%,1.890.000₫,RAM 8 GB SSD 512 GB,4.5,2 đánh giá
Asus Vivobook 14X OLED K3405VC i5 13500H (KM006W),23.690.000₫,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w?utm_flashsale=1,150,28.490.000₫,-16%,1.090.000₫,RAM 16 GB SSD 512 GB,4.4,8 đánh giá
Asus Vivobook 15 OLED A1505VA i9 13900H (L1386W),21.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-l1386w,151,24.990.000₫,-12%,1.090.000₫,RAM 16 GB SSD 1 TB,3.3,3 đánh giá
HP Probook 450 G10 i5 1335U (9H1N5PT),19.790.000₫,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-9h1n5pt,152,22.590.000₫,-12%,1.190.000₫,RAM 16 GB SSD 512 GB,,
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),17.490.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa?utm_flashsale=1,153,19.990.000₫,-12%,1.190.000₫,RAM 8 GB SSD 512 GB,5,1 đánh giá
MSI Gaming Sword 16 HX B14VFKG i7 14700HX (045VN),36.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,154,39.990.000₫,-7%,990.000₫,RAM 16 GB SSD 1 TB,4.5,2 đánh giá
MSI Gaming Cyborg 14 A13VE i7 13620H (090VN),26.490.000₫,https://www.thegioididong.com/laptop/msi-cyborg-14-a13ve-i7-090vn,155,27.990.000₫,-5%,990.000₫,RAM 16 GB SSD 512 GB,,
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),51.990.000₫,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn,156,56.990.000₫,-8%,1.090.000₫,RAM 32 GB SSD 1 TB,,
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),26.990.000₫,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21mr0072vn,157,27.390.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
Dell Vostro 15 3520 i3 1215U (V5I3614W1),10.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,158,12.990.000₫,-19%,100.000₫,RAM 8 GB SSD 256 GB,4.0,28 đánh giá
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),23.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-n4i7204w1,159,25.990.000₫,-7%,100.000₫,RAM 16 GB SSD 512 GB,,Đánh giá
Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H (NH.QFHSV.003),21.490.000₫,https://www.thegioididong.com/laptop/acer-nitro-5-an515-58-769j-i7-nhqfhsv003,160,31.790.000₫,-32%,1.890.000₫,RAM 8 GB SSD 512 GB,4.5,10 đánh giá
Acer Nitro V ANV15 51 75GS i7 13620H (NH.QN8SV.005),23.990.000₫,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-75gs-i7-nhqn8sv005,161,30.990.000₫,-22%,990.000₫,RAM 16 GB SSD 512 GB,,
Asus TUF Gaming F15 FX507VU i7 13620H (LP186W),30.490.000₫,https://www.thegioididong.com/laptop/asus-fx507vu-i7-lp186w,162,34.490.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,,
HP Pavilion X360 14 ek2027TU Core 7 150U (9Z2V9PA),26.790.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2027tu-core-7-9z2v9pa,163,28.290.000₫,-5%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Acer Swift Go SFG14 71 513F i5 13500H (NX.KPZSV.003),17.990.000₫,https://www.thegioididong.com/laptop/acer-swift-go-sfg14-71-513f-i5-nxkpzsv003,164,24.590.000₫,-26%,,RAM 16 GB SSD 512 GB,,
HP 245 G10 R5 7520U (8F155PA),11.590.000₫,https://www.thegioididong.com/laptop/hp-245-g10-r5-8f155pa?utm_flashsale=1,165,14.190.000₫,-18%,1.190.000₫,RAM 8 GB SSD 512 GB,4.3,9 đánh giá
Asus Gaming Vivobook K3605ZU i5 12500H (RP296W),23.990.000₫,https://www.thegioididong.com/laptop/asus-gaming-vivobook-k3605zu-i5-rp296w,166,28.490.000₫,-15%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Acer Swift Go SFG14 71 74CP i7 13700H (NX.KPZSV.004),19.990.000₫,https://www.thegioididong.com/laptop/acer-swift-go-sfg14-71-74cp-i7-nxkpzsv004,167,28.690.000₫,-30%,,RAM 16 GB SSD 512 GB,,
Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),12.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007,168,15.490.000₫,-16%,1.090.000₫,RAM 8 GB SSD 512 GB,4.1,26 đánh giá
HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),15.590.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa,169,18.790.000₫,-17%,1.190.000₫,RAM 8 GB SSD 256 GB,4.2,16 đánh giá
MSI Modern 15 B7M R7 7730U (238VN),12.990.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b7m-r7-238vn,170,16.990.000₫,-23%,1.090.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Dell Inspiron 16 5640 Core 7 150U (N5640-C7U161W11IBU),25.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-n5640c7u161w11ibu,171,27.490.000₫,-5%,100.000₫,RAM 16 GB SSD 1 TB,,
Asus Vivobook 15 OLED A1505VA i9 13900H (MA586WS),23.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i9-ma586ws,172,25.990.000₫,-9%,100.000₫,RAM 16 GB SSD 512 GB,,
HP Elitebook 630 G10 i5 1335U (9J0B4PT),20.990.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-19j0b4pt,173,23.590.000₫,-11%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Dell Inspiron 16 5640 Core 7 150U (KHPF5),27.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-khpf5,174,29.490.000₫,-5%,100.000₫,RAM 16 GB SSD 1 TB,,
HP Gaming VICTUS 16 s0173AX R5 7640HS (A9LG9PA),22.190.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0173ax-r5-a9lg9pa,175,27.390.000₫,-18%,1.190.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Thin 15 B13UCX i5 13420H (2080VN),17.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b13ucx-i5-2080vn,176,19.990.000₫,-12%,990.000₫,RAM 16 GB SSD 512 GB,,
Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),13.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-5-a514-56p-54tn-i5-nxkhrsv004,177,15.990.000₫,-12%,1.090.000₫,RAM 8 GB SSD 512 GB,,
Asus TUF Gaming F15 FX507VV i7 13620H (LP151W),32.490.000₫,https://www.thegioididong.com/laptop/asus-fx507vv-i7-lp151w,178,36.490.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,,
HP Pavilion 15 eg3095TU i5 1335U (8C5L6PA),17.490.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa?utm_flashsale=1,179,19.990.000₫,-12%,1.190.000₫,RAM 8 GB SSD 512 GB,5,2 đánh giá
Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H (NX.KSLSV.001),23.290.000₫,https://www.thegioididong.com/laptop/acer-swift-go-14-ai-73-53x7-ultra-5-nxkslsv001,180,23.990.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
MSI Gaming Thin A15 B7UCX R5 7535HS (020VN),15.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-thin-a15-b7ucx-r5-020vn,181,18.990.000₫,-18%,990.000₫,RAM 8 GB SSD 512 GB,,
Asus Vivobook 15 X1504ZA i5 1235U (NJ1608W),14.990.000₫,https://www.thegioididong.com/laptop/asus-x1504za-i5-nj1608w,182,16.990.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Dell Inspiron 15 3520 i3 1215U (i3U082W11BLU),10.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i3-i3u082w11blu,183,12.990.000₫,-19%,100.000₫,RAM 8 GB SSD 256 GB,4.4,25 đánh giá
HP Pavilion X360 14 ek1049TU i5 1335U (80R27PA),20.790.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa?utm_flashsale=1,184,24.290.000₫,-14%,1.190.000₫,RAM 16 GB SSD 512 GB,4.2,14 đánh giá
Dell Inspiron 15 3530 i7 1355U (N3530I716W1),23.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n3530i716w1,185,25.290.000₫,-5%,100.000₫,RAM 16 GB SSD 512 GB,3.7,11 đánh giá
HP Envy X360 14 fa0050AU R5 8640HS (A29H8PA),26.990.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa,186,28.990.000₫,-6%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Asus TUF Gaming F15 FX506HF i5 11400H (HN014W),15.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hf-i5-hn014w,187,18.990.000₫,-15%,1.090.000₫,RAM 8 GB SSD 512 GB,4.5,37 đánh giá
HP Elitebook 630 G10 i7 1355U (873F2PA),23.990.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-873f2pa?utm_flashsale=1,188,27.790.000₫,-13%,1.190.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA),11.790.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa?utm_flashsale=1,189,15.290.000₫,-22%,1.190.000₫,RAM 8 GB SSD 256 GB,4.2,21 đánh giá
Asus TUF Gaming A15 FA507NU R5 7535HS (LP105W),23.490.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nu-r5-lp105w,190,26.490.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,4.6,7 đánh giá
Acer Gaming Nitro V ANV15 51 58AN i5 13420H (NH.QNASV.001),19.490.000₫,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-58an-i5-nhqnasv001,191,21.490.000₫,-9%,1.890.000₫,RAM 8 GB SSD 512 GB,,
Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H (NX.KSLSV.002),26.290.000₫,https://www.thegioididong.com/laptop/acer-swift-go-14-ai-73-71zx-ultra-7-nxkslsv002,192,26.990.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H (085VN),48.990.000₫,https://www.thegioididong.com/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn,193,51.990.000₫,-5%,990.000₫,RAM 32 GB SSD 1 TB,,
HP Envy X360 13 bf0090TU i7 1250U (76B13PA),25.490.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa?utm_flashsale=1,194,32.990.000₫,-22%,1.190.000₫,RAM 16 GB SSD 512 GB,4.6,15 đánh giá
MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN),30.990.000₫,https://www.thegioididong.com/laptop/msi-prestige-13-ai-evo-a1mg-ultra-7-062vn,195,33.990.000₫,-8%,990.000₫,RAM 32 GB SSD 1 TB,,
Acer Gaming Nitro 5 Tiger AN515 58 773Y i7 12700H (NH.QFKSV.001),22.490.000₫,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001,196,31.990.000₫,-29%,1.890.000₫,RAM 8 GB SSD 512 GB,4.7,26 đánh giá
Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),23.990.000₫,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-57b2-i5-nhqn8sv001,197,26.990.000₫,-11%,1.890.000₫,RAM 8 GB SSD 512 GB,,
MSI Gaming Katana A15 AI B8VF R7 8845HS (419VN),28.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-katana-a15-ai-b8vf-r7-419vn,198,30.990.000₫,-6%,990.000₫,RAM 16 GB SSD 512 GB,,
Lenovo Legion Slim 5 16AHP9 R7 8845HS (83DH003BVN),43.990.000₫,https://www.thegioididong.com/laptop/lenovo-legion-slim-5-16ahp9-r7-83dh003bvn,199,44.990.000₫,,990.000₫,RAM 32 GB SSD 1 TB,,
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),18.990.000₫,https://www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn,200,19.890.000₫,,1.090.000₫,RAM 16 GB SSD 512 GB,,
Dell Vostro 15 3520 i5 1235U (V5I5610W1),15.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-v5i5610w1,201,,,100.000₫,RAM 8 GB SSD 512 GB,4.5,6 đánh giá
HP Elitebook 630 G10 i7 1355U (9H1N9PT),24.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-9h1n9pt,202,27.790.000₫,-11%,1.190.000₫,RAM 16 GB SSD 512 GB,,
Dell Inspiron 14 7430 2-in-1 i7 1355U (i7U165W11SLU),27.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-14-7430-2-in-1-i7-i7u165w11slu,203,29.490.000₫,-5%,100.000₫,RAM 16 GB SSD 512 GB,4.7,6 đánh giá
Asus Vivobook S 16 OLED M5606WA R9 AI HX 370 (MX072WS),30.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-s-16-oled-m5606wa-r9-mx072ws,204,33.990.000₫,-8%,100.000₫,RAM 32 GB SSD 1 TB,,
HP Pavilion 15 eg3098TU i3 1315U (8C5L9PA),13.390.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3098tu-i3-8c5l9pa?utm_flashsale=1,205,15.290.000₫,-12%,1.190.000₫,RAM 8 GB SSD 256 GB,,
MSI Gaming Cyborg 15 AI A1VEK Ultra 7 155H (053VN),28.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-cyborg-15-ai-a1vek-ultra-7-053vn,206,30.990.000₫,-8%,1.090.000₫,RAM 16 GB SSD 512 GB,,
MSI Gaming Katana A15 AI B8VG R7 8845HS (465VN),37.990.000₫,https://www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r7-465vn,207,39.990.000₫,-5%,990.000₫,RAM 16 GB SSD 1 TB,,
Dell Inspiron 15 3520 i3 1215U (71003264),11.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-3520-i3-71003264,208,13.790.000₫,-16%,100.000₫,RAM 8 GB SSD 512 GB,4.3,23 đánh giá
