data_name,price,links,index_,discount_list,discount_percent,Gift_list,RAM_SSD,Evaluate_list,Evaluate_count_list
Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W),16.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nf-r5-hn012w,25,20.990.000₫,-19%,1.090.000₫,RAM 16 GB SSD 512 GB,4.8,4 đánh giá
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),13.990.000₫,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,26,14.990.000₫,-6%,1.090.000₫,RAM 16 GB SSD 512 GB,,
Dell Vostro 3520 i5 1235U (71030559),16.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-3520-i5-71030559,27,16.990.000₫,,100.000₫,RAM 16 GB SSD 512 GB,3,1 đánh giá
HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA),18.790.000₫,https://www.thegioididong.com/laptop/hp-victus-15-fa1139tx-i5-8y6w3pa,28,24.590.000₫,-23%,1.190.000₫,RAM 16 GB SSD 512 GB,4,5 đánh giá
Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN),17.390.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn,29,19.490.000₫,-10%,1.090.000₫,RAM 16 GB SSD 1 TB,4,1 đánh giá
HP 245 G10 R5 7530U (A20TDPT),12.690.000₫,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,30,14.590.000₫,-13%,1.190.000₫,RAM 8 GB SSD 512 GB,4,2 đánh giá
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),17.990.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,31,21.290.000₫,-15%,1.190.000₫,RAM 16 GB SSD 512 GB,,
MSI Modern 15 B12MO i5 1235U (628VN),12.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-628vn,32,14.990.000₫,-16%,1.090.000₫,RAM 16 GB SSD 512 GB,3,3 đánh giá
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),12.790.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn,33,14.490.000₫,-11%,1.090.000₫,RAM 16 GB SSD 512 GB,4.8,5 đánh giá
Asus Vivobook X1404ZA i3 1215U (NK246W),10.190.000₫,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w?utm_flashsale=1,34,11.990.000₫,-15%,1.090.000₫,RAM 8 GB SSD 512 GB,3.5,11 đánh giá
Dell Inspiron 15 3520 i5 1235U (71043883),16.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71043883,35,16.990.000₫,,100.000₫,RAM 16 GB SSD 512 GB,,
HP Gaming VICTUS 15 fb1022AX R5 7535HS (94F19PA),18.290.000₫,https://www.thegioididong.com/laptop/hp-victus-15-fb1022ax-r5-94f19pa,36,25.490.000₫,-28%,1.190.000₫,RAM 16 GB SSD 512 GB,5,1 đánh giá
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),12.490.000₫,https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,37,13.990.000₫,-10%,1.090.000₫,RAM 16 GB SSD 512 GB,4,3 đánh giá
Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN),16.690.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,38,18.490.000₫,-9%,1.090.000₫,RAM 16 GB SSD 1 TB,4.3,3 đánh giá
HP 240 G9 i3 1215U (AG2J5AT),11.290.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at,39,13.690.000₫,-17%,1.190.000₫,RAM 8 GB SSD 512 GB,,
