product_names,links,product_price,index_,price_old_dix,price_old_list,discount_dix,discount_list,discount_dix_Student,discount_list_Student,Brand
MacBook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html,48.790.000đ,26,26.0,49.990.000đ,26.0,Giảm 2%,26.0,500.000đ,MacBook Pro
Laptop ASUS Vivobook S 14 OLED M5406WA-PP071WS,https://cellphones.com.vn/laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws.html,31.990.000đ,27,27.0,33.990.000đ,27.0,Giảm 6%,27.0,800.000đ,Laptop ASUS
Laptop Dell Inspiron 15 3520 6R6NK - Nhập khẩu chính hãng,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-6r6nk.html,13.490.000đ,28,28.0,14.490.000đ,28.0,Giảm 7%,28.0,540.000đ,Laptop Dell
Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-53s6.html,9.990.000đ,29,29.0,15.990.000đ,29.0,Giảm 38%,29.0,400.000đ,Laptop Acer
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0009VN,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0009vn.html,15.290.000đ,30,30.0,16.490.000đ,30.0,Giảm 7%,30.0,612.000đ,Laptop Lenovo
Laptop ASUS TUF Gaming A15 FA506NF-HN005W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nf-hn005w.html,15.990.000đ,31,31.0,19.990.000đ,31.0,Giảm 20%,31.0,640.000đ,Laptop ASUS
Laptop MSI Cyborg 15 A12UCX-618VN,https://cellphones.com.vn/laptop-msi-cyborg-15-a12ucx-618vn.html,16.990.000đ,32,32.0,19.990.000đ,32.0,Giảm 15%,32.0,680.000đ,Laptop MSI
Laptop ASUS VivoBook 15 OLED A1505VA-L1114W,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1114w.html,17.490.000đ,33,33.0,20.990.000đ,33.0,Giảm 17%,33.0,700.000đ,Laptop ASUS
Laptop Dell Inspiron 15 3520-5810BLK 102F0,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-5810blk-102f0.html,12.990.000đ,34,34.0,13.990.000đ,34.0,Giảm 7%,34.0,520.000đ,Laptop Dell
Laptop ASUS Vivobook 14 X1404ZA-NK386W,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk386w.html,9.990.000đ,35,35.0,11.990.000đ,35.0,Giảm 17%,35.0,400.000đ,Laptop ASUS
